ID,Category,Feedback,Sentiment,Date,cleaned_feedback,sentiment_label
1,Sanitation,Public toilets need better maintenance.,Negative,08-09-2023,public toilets need better maintenance,0
2,Road Infrastructure,Potholes on highways are dangerous.,Negative,08-01-2023,potholes on highways are dangerous,0
3,Digital Services,Government websites often crash during peak hours.,Negative,11-11-2024,government websites often crash during peak hours,0
4,Water Supply,There should be more awareness about water conservation.,Neutral,23-06-2024,there should be more awareness about water conservation,1
5,Education,Public libraries need better funding.,Positive,13-08-2024,public libraries need better funding,2
6,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,11-05-2023,medicines are often out of stock at government pharmacies,1
7,Sanitation,Public toilets need better maintenance.,Negative,07-12-2023,public toilets need better maintenance,0
8,Water Supply,There should be more awareness about water conservation.,Positive,24-02-2024,there should be more awareness about water conservation,2
9,Electricity,The new solar power initiatives are great.,Negative,04-04-2023,the new solar power initiatives are great,0
10,Sanitation,Public toilets need better maintenance.,Neutral,19-03-2023,public toilets need better maintenance,1
11,Education,The new education policy is beneficial for students.,Neutral,01-08-2024,the new education policy is beneficial for students,1
12,Water Supply,There should be more awareness about water conservation.,Negative,12-12-2024,there should be more awareness about water conservation,0
13,Public Transport,Buses are always late and overcrowded.,Neutral,14-08-2024,buses are always late and overcrowded,1
14,Law & Order,There are too many traffic rule violations happening.,Positive,10-12-2023,there are too many traffic rule violations happening,2
15,Public Transport,Buses are always late and overcrowded.,Positive,13-05-2023,buses are always late and overcrowded,2
16,Public Welfare,There should be more transparency in government welfare programs.,Neutral,17-11-2024,there should be more transparency in government welfare programs,1
17,Education,Online learning resources provided by the government are useful.,Negative,21-08-2024,online learning resources provided by the government are useful,0
18,Education,Online learning resources provided by the government are useful.,Neutral,12-05-2024,online learning resources provided by the government are useful,1
19,Electricity,The new solar power initiatives are great.,Neutral,19-08-2023,the new solar power initiatives are great,1
20,Education,The new education policy is beneficial for students.,Positive,19-06-2024,the new education policy is beneficial for students,2
21,Healthcare,Medicines are often out of stock at government pharmacies.,Negative,04-04-2023,medicines are often out of stock at government pharmacies,0
22,Digital Services,E-governance services need better customer support.,Neutral,02-06-2023,egovernance services need better customer support,1
23,Public Transport,Traffic congestion is getting worse due to poor planning.,Positive,16-11-2023,traffic congestion is getting worse due to poor planning,2
24,Public Welfare,Subsidized food programs help low-income families.,Negative,25-03-2024,subsidized food programs help lowincome families,0
25,Sanitation,"Sanitation workers do a great job, but they need better equipment.",Positive,01-04-2024,sanitation workers do a great job but they need better equipment,2
26,Digital Services,The passport application process was smooth and quick.,Positive,12-03-2024,the passport application process was smooth and quick,2
27,Sanitation,Garbage collection is not regular in our area.,Negative,04-04-2024,garbage collection is not regular in our area,0
28,Water Supply,Sewage water is mixing with drinking water in some areas.,Neutral,19-12-2024,sewage water is mixing with drinking water in some areas,1
29,Education,Public libraries need better funding.,Positive,10-05-2023,public libraries need better funding,2
30,Water Supply,There should be more awareness about water conservation.,Neutral,17-11-2023,there should be more awareness about water conservation,1
31,Education,The new education policy is beneficial for students.,Neutral,21-02-2024,the new education policy is beneficial for students,1
32,Public Welfare,Job fairs organized by the government are very helpful.,Neutral,14-09-2024,job fairs organized by the government are very helpful,1
33,Healthcare,Government hospital staff was very rude.,Positive,12-06-2024,government hospital staff was very rude,2
