ID,Category,Feedback,Sentiment,Date
1,Sanitation,Public toilets need better maintenance.,Negative,08-09-2023
2,Road Infrastructure,Potholes on highways are dangerous.,Negative,08-01-2023
3,Digital Services,Government websites often crash during peak hours.,Negative,11-11-2024
4,Water Supply,There should be more awareness about water conservation.,Neutral,23-06-2024
5,Education,Public libraries need better funding.,Positive,13-08-2024
6,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,11-05-2023
7,Sanitation,Public toilets need better maintenance.,Negative,07-12-2023
8,Water Supply,There should be more awareness about water conservation.,Positive,24-02-2024
9,Electricity,The new solar power initiatives are great.,Negative,04-04-2023
10,Sanitation,Public toilets need better maintenance.,Neutral,19-03-2023
11,Education,The new education policy is beneficial for students.,Neutral,01-08-2024
12,Water Supply,There should be more awareness about water conservation.,Negative,12-12-2024
13,Public Transport,Buses are always late and overcrowded.,Neutral,14-08-2024
14,Law & Order,There are too many traffic rule violations happening.,Positive,10-12-2023
15,Public Transport,Buses are always late and overcrowded.,Positive,13-05-2023
16,Public Welfare,There should be more transparency in government welfare programs.,Neutral,17-11-2024
17,Education,Online learning resources provided by the government are useful.,Negative,21-08-2024
18,Education,Online learning resources provided by the government are useful.,Neutral,12-05-2024
19,Electricity,The new solar power initiatives are great.,Neutral,19-08-2023
20,Education,The new education policy is beneficial for students.,Positive,19-06-2024
21,Healthcare,Medicines are often out of stock at government pharmacies.,Negative,04-04-2023
22,Digital Services,E-governance services need better customer support.,Neutral,02-06-2023
23,Public Transport,Traffic congestion is getting worse due to poor planning.,Positive,16-11-2023
24,Public Welfare,Subsidized food programs help low-income families.,Negative,25-03-2024
25,Sanitation,"Sanitation workers do a great job, but they need better equipment.",Positive,01-04-2024
26,Digital Services,The passport application process was smooth and quick.,Positive,12-03-2024
27,Sanitation,Garbage collection is not regular in our area.,Negative,04-04-2024
28,Water Supply,Sewage water is mixing with drinking water in some areas.,Neutral,19-12-2024
29,Education,Public libraries need better funding.,Positive,10-05-2023
30,Water Supply,There should be more awareness about water conservation.,Neutral,17-11-2023
31,Education,The new education policy is beneficial for students.,Neutral,21-02-2024
32,Public Welfare,Job fairs organized by the government are very helpful.,Neutral,14-09-2024
33,Healthcare,Government hospital staff was very rude.,Positive,12-06-2024
34,Digital Services,The new mobile app for public services is user-friendly.,Positive,15-03-2023
35,Electricity,Power cuts are frequent in my area.,Positive,27-12-2024
36,Road Infrastructure,Better road signs and signals are needed in rural areas.,Neutral,23-08-2023
37,Water Supply,Drinking water quality has improved recently.,Neutral,20-06-2024
38,Sanitation,Public toilets need better maintenance.,Neutral,17-12-2023
39,Digital Services,Government websites often crash during peak hours.,Neutral,14-04-2023
40,Sanitation,More dustbins should be placed in public areas.,Negative,21-07-2024
41,Healthcare,Government hospital staff was very rude.,Neutral,26-01-2023
42,Public Welfare,There should be more transparency in government welfare programs.,Negative,19-08-2023
43,Digital Services,The new mobile app for public services is user-friendly.,Positive,06-04-2023
44,Road Infrastructure,New flyovers have reduced traffic congestion.,Negative,11-03-2024
45,Sanitation,More dustbins should be placed in public areas.,Neutral,28-12-2023
46,Law & Order,Street crimes have increased in recent months.,Neutral,27-07-2023
47,Sanitation,More dustbins should be placed in public areas.,Positive,12-01-2024
48,Road Infrastructure,Potholes on highways are dangerous.,Neutral,06-08-2023
49,Public Welfare,There should be more transparency in government welfare programs.,Neutral,09-06-2024
50,Sanitation,More dustbins should be placed in public areas.,Negative,24-04-2023
51,Digital Services,The new mobile app for public services is user-friendly.,Negative,08-02-2024
52,Water Supply,There should be more awareness about water conservation.,Positive,13-05-2024
53,Healthcare,Government hospital staff was very rude.,Positive,22-05-2024
54,Electricity,Streetlights are not working properly.,Neutral,14-05-2023
55,Public Transport,"Public transport needs better safety measures, especially at night.",Positive,28-10-2024
56,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,28-05-2023
57,Law & Order,Street crimes have increased in recent months.,Negative,21-10-2023
58,Education,Online learning resources provided by the government are useful.,Negative,27-05-2024
59,Law & Order,Street crimes have increased in recent months.,Neutral,03-01-2024
